"","staid","LakeElevFt","Date","qualcode","LakeElev_m","DBL_elev_N","DBL_elev_S","DBL_vol_N_m3","DBL_vol_S_m3","DBL_vol_total_m3","UBL_vol_m3","GB_vol_m3","DBL_vol_acreft","UBL_vol_acreft","GB_vol_acreft"
"2406","10010000",4193.23,2016-08-02,"A",1278.09646310091,1272.0125742288,1270.92582600001,223876569.304688,77378450.328125,301255019.632812,7292545164.52344,7593800184.15625,244231.661986596,5912168.46051145,6156400.12249805
"2407","10010000",4193.26,2016-08-03,"A",1278.10560710062,1272.02200745321,1270.92582600001,225656481.085938,77378450.328125,303034931.414062,7305933319.71094,7608968251.125,245674.66138642,5923022.42535613,6168697.08674255
"2408","10010000",4193.24,2016-08-04,"A",1278.09951110082,1272.01571863693,1270.92582600001,224469141.5,77378450.328125,301847591.828125,7297007031.70312,7598854623.53125,244712.068561347,5915785.75870017,6160497.82726151
"2409","10010000",4193.15,2016-08-05,"A",1278.07207910169,1271.98741896368,1270.92582600001,219162334.101562,77378450.328125,296540784.429688,7256880870.89844,7553421655.32812,240409.76550813,5883254.91836956,6123664.68387769
"2410","10010000",4193.1,2016-08-06,"A",1278.05683910218,1271.97169692298,1270.92582600001,216239718.4375,77378450.328125,293618168.765625,7234618351.92188,7528236520.6875,238040.360072655,5865206.38255999,6103246.74263265
"2411","10010000",4193.04,2016-08-07,"A",1278.03855110277,1271.95283047415,1270.92582600001,212756726.804688,77378450.328125,290135177.132812,7207931419.30469,7498066596.4375,235216.649994051,5843570.91267018,6078787.56266423
"2412","10010000",4193.1,2016-08-08,"A",1278.05683910218,1271.97169692298,1270.92582600001,216239718.4375,77378450.328125,293618168.765625,7234618351.92188,7528236520.6875,238040.360072655,5865206.38255999,6103246.74263265
"2413","10010000",4193.08,2016-08-09,"A",1278.05074310238,1271.9654081067,1270.92582600001,215075794.304688,77378450.328125,292454244.632812,7225719302.82031,7518173547.45312,237096.750483246,5857991.79886667,6095088.54934991
"2414","10010000",4193.09,2016-08-10,"A",1278.05379110228,1271.96855251484,1270.92582600001,215657390.5,77378450.328125,293035840.828125,7230168401.76562,7523204242.59375,237568.258661133,5861598.74566902,6099167.00433015
"2415","10010000",4192.99,2016-08-11,"A",1278.02331110325,1271.93710843345,1270.92582600001,209874356.4375,77378450.328125,287252806.765625,7185715717.26562,7472968524.03125,232879.871984187,5825560.33200728,6058440.20399147
"2416","10010000",4192.99,2016-08-12,"A",1278.02331110325,1271.93710843345,1270.92582600001,209874356.4375,77378450.328125,287252806.765625,7185715717.26562,7472968524.03125,232879.871984187,5825560.33200728,6058440.20399147
"2417","10010000",4192.96,2016-08-13,"A",1278.01416710355,1271.92767520903,1270.92582600001,208153715.015625,77378450.328125,285532165.34375,7172396510.64062,7457928675.98438,231484.923894493,5814762.2647275,6046247.188622
"2418","10010000",4192.93,2016-08-14,"A",1278.00502310384,1271.91824198461,1270.92582600001,206439659.179688,77378450.328125,283818109.507812,7159084964.97656,7442903074.48438,230095.314831517,5803970.40829601,6034065.72312753
